study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJEB3366	SAMEA1573237	ERX162971	ERR188224	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188224/ERR188224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188224/ERR188224_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188224/NA20528.2.M_120131_1_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188224/NA20528.2.M_120131_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188224	NA20528
PRJEB3366	SAMEA1573250	ERX163143	ERR188225	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188225/ERR188225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188225/ERR188225_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188225/NA19152.4.M_120208_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188225/NA19152.4.M_120208_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188225	NA19152
PRJEB3366	SAMEA1573111	ERX163059	ERR188226	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188226/ERR188226_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188226/ERR188226_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188226/NA20532.3.M_120202_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188226/NA20532.3.M_120202_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188226	NA20532
PRJEB3366	SAMEA1573455	ERX162964	ERR188227	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188227/ERR188227_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188227/ERR188227_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188227/NA12874.3.M_120202_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188227/NA12874.3.M_120202_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188227	NA12874
PRJEB3366	SAMEA1573416	ERX163005	ERR188228	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188228/ERR188228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188228/ERR188228_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188228/NA12829.7.M_120219_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188228/NA12829.7.M_120219_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188228	NA12829
PRJEB3366	SAMEA1573112	ERX162869	ERR188229	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188229/ERR188229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188229/ERR188229_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188229/NA12044.4.M_120208_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188229/NA12044.4.M_120208_8_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188229	NA12044
PRJEB3366	SAMEA1573541	ERX163076	ERR188230	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188230/ERR188230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188230/ERR188230_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188230/HG00278.1.M_111124_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188230/HG00278.1.M_111124_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188230	HG00278
PRJEB3366	SAMEA1573277	ERX162845	ERR188231	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188231/ERR188231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188231/ERR188231_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188231/HG00097.7.M_120219_2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188231/HG00097.7.M_120219_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188231	HG00097
PRJEB3366	SAMEA1573356	ERX163146	ERR188232	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188232/ERR188232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188232/ERR188232_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188232/NA19160.3.M_120202_3_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188232/NA19160.3.M_120202_3_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188232	NA19160
PRJEB3366	SAMEA1573347	ERX162995	ERR188233	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188233/ERR188233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188233/ERR188233_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188233/NA11993.2.M_111216_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188233/NA11993.2.M_111216_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188233	NA11993
PRJEB3366	SAMEA1573417	ERX163075	ERR188234	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188234/ERR188234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188234/ERR188234_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188234/NA19116.2.M_111215_7_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188234/NA19116.2.M_111215_7_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188234	NA19116
PRJEB3366	SAMEA1573197	ERX163038	ERR188235	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188235/ERR188235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188235/ERR188235_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188235/NA11930.3.M_120202_8_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188235/NA11930.3.M_120202_8_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188235	NA11930
PRJEB3366	SAMEA1573143	ERX162832	ERR188236	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188236/ERR188236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188236/ERR188236_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188236/HG00118.4.M_120208_5_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188236/HG00118.4.M_120208_5_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188236	HG00118
PRJEB3366	SAMEA1573098	ERX162946	ERR188237	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188237/ERR188237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188237/ERR188237_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188237/HG00234.7.M_120219_4_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR188237/HG00234.7.M_120219_4_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR188/ERR188237	HG00234
